country,date,accumulated_confirmed,increase_of_confirmed
Afghanistan,2020-03-01,1,0
Afghanistan,2020-03-02,1,0
Afghanistan,2020-03-03,1,0
Afghanistan,2020-03-04,1,0
Afghanistan,2020-03-05,1,0
Afghanistan,2020-03-06,1,0
Afghanistan,2020-03-07,1,0
Afghanistan,2020-03-08,4,3
Afghanistan,2020-03-09,4,0
Afghanistan,2020-03-10,5,1
Afghanistan,2020-03-11,7,2
Afghanistan,2020-03-12,7,0
Afghanistan,2020-03-13,7,0
Afghanistan,2020-03-14,11,4
Afghanistan,2020-03-15,16,5
Afghanistan,2020-03-16,21,5
Afghanistan,2020-03-17,22,1
Afghanistan,2020-03-18,22,0
Afghanistan,2020-03-19,22,0
Afghanistan,2020-03-20,24,2
Afghanistan,2020-03-21,24,0
Afghanistan,2020-03-22,40,16
Afghanistan,2020-03-23,40,0
Afghanistan,2020-03-24,74,34
Afghanistan,2020-03-25,84,10
Afghanistan,2020-03-26,94,10
Afghanistan,2020-03-27,110,16
Albania,2020-03-01,0,0
Albania,2020-03-02,0,0
Albania,2020-03-03,0,0
Albania,2020-03-04,0,0
Albania,2020-03-05,0,0
Albania,2020-03-06,0,0
Albania,2020-03-07,0,0
Albania,2020-03-08,0,0
Albania,2020-03-09,2,2
Albania,2020-03-10,10,8
Albania,2020-03-11,12,2
Albania,2020-03-12,23,11
Albania,2020-03-13,33,10
Albania,2020-03-14,38,5
Albania,2020-03-15,42,4
Albania,2020-03-16,51,9
Albania,2020-03-17,55,4
Albania,2020-03-18,59,4
Albania,2020-03-19,64,5
Albania,2020-03-20,70,6
Albania,2020-03-21,76,6
Albania,2020-03-22,89,13
Albania,2020-03-23,104,15
Albania,2020-03-24,123,19
Albania,2020-03-25,146,23
Albania,2020-03-26,174,28
Albania,2020-03-27,186,12
Algeria,2020-03-01,1,0
Algeria,2020-03-02,3,2
Algeria,2020-03-03,5,2
Algeria,2020-03-04,12,7
Algeria,2020-03-05,12,0
Algeria,2020-03-06,17,5
Algeria,2020-03-07,17,0
Algeria,2020-03-08,19,2
Algeria,2020-03-09,20,1
Algeria,2020-03-10,20,0
Algeria,2020-03-11,20,0
Algeria,2020-03-12,24,4
Algeria,2020-03-13,26,2
Algeria,2020-03-14,37,11
Algeria,2020-03-15,48,11
Algeria,2020-03-16,54,6
Algeria,2020-03-17,60,6
Algeria,2020-03-18,74,14
Algeria,2020-03-19,87,13
Algeria,2020-03-20,90,3
Algeria,2020-03-21,139,49
Algeria,2020-03-22,201,62
Algeria,2020-03-23,230,29
Algeria,2020-03-24,264,34
Algeria,2020-03-25,302,38
Algeria,2020-03-26,367,65
Algeria,2020-03-27,409,42
Andorra,2020-03-01,0,0
Andorra,2020-03-02,1,1
Andorra,2020-03-03,1,0
Andorra,2020-03-04,1,0
Andorra,2020-03-05,1,0
Andorra,2020-03-06,1,0
Andorra,2020-03-07,1,0
Andorra,2020-03-08,1,0
Andorra,2020-03-09,1,0
Andorra,2020-03-10,1,0
Andorra,2020-03-11,1,0
Andorra,2020-03-12,1,0
Andorra,2020-03-13,1,0
Andorra,2020-03-14,1,0
Andorra,2020-03-15,1,0
Andorra,2020-03-16,2,1
Andorra,2020-03-17,39,37
Andorra,2020-03-18,39,0
Andorra,2020-03-19,53,14
Andorra,2020-03-20,75,22
Andorra,2020-03-21,88,13
Andorra,2020-03-22,113,25
Andorra,2020-03-23,133,20
Andorra,2020-03-24,164,31
Andorra,2020-03-25,188,24
Andorra,2020-03-26,224,36
Andorra,2020-03-27,267,43
Angola,2020-03-01,0,0
Angola,2020-03-02,0,0
Angola,2020-03-03,0,0
Angola,2020-03-04,0,0
Angola,2020-03-05,0,0
Angola,2020-03-06,0,0
Angola,2020-03-07,0,0
Angola,2020-03-08,0,0
Angola,2020-03-09,0,0
Angola,2020-03-10,0,0
Angola,2020-03-11,0,0
Angola,2020-03-12,0,0
Angola,2020-03-13,0,0
Angola,2020-03-14,0,0
Angola,2020-03-15,0,0
Angola,2020-03-16,0,0
Angola,2020-03-17,0,0
Angola,2020-03-18,0,0
Angola,2020-03-19,0,0
Angola,2020-03-20,1,1
Angola,2020-03-21,2,1
Angola,2020-03-22,2,0
Angola,2020-03-23,3,1
Angola,2020-03-24,3,0
Angola,2020-03-25,3,0
Angola,2020-03-26,4,1
Angola,2020-03-27,4,0
Antigua and Barbuda,2020-03-01,0,0
Antigua and Barbuda,2020-03-02,0,0
Antigua and Barbuda,2020-03-03,0,0
Antigua and Barbuda,2020-03-04,0,0
Antigua and Barbuda,2020-03-05,0,0
Antigua and Barbuda,2020-03-06,0,0
Antigua and Barbuda,2020-03-07,0,0
Antigua and Barbuda,2020-03-08,0,0
Antigua and Barbuda,2020-03-09,0,0
Antigua and Barbuda,2020-03-10,0,0
Antigua and Barbuda,2020-03-11,0,0
Antigua and Barbuda,2020-03-12,0,0
Antigua and Barbuda,2020-03-13,1,1
Antigua and Barbuda,2020-03-14,1,0
Antigua and Barbuda,2020-03-15,1,0
Antigua and Barbuda,2020-03-16,1,0
Antigua and Barbuda,2020-03-17,1,0
Antigua and Barbuda,2020-03-18,1,0
Antigua and Barbuda,2020-03-19,1,0
Antigua and Barbuda,2020-03-20,1,0
Antigua and Barbuda,2020-03-21,1,0
Antigua and Barbuda,2020-03-22,1,0
Antigua and Barbuda,2020-03-23,3,2
Antigua and Barbuda,2020-03-24,3,0
Antigua and Barbuda,2020-03-25,3,0
Antigua and Barbuda,2020-03-26,7,4
Antigua and Barbuda,2020-03-27,7,0
Argentina,2020-03-01,0,0
Argentina,2020-03-02,0,0
Argentina,2020-03-03,1,1
Argentina,2020-03-04,1,0
Argentina,2020-03-05,1,0
Argentina,2020-03-06,2,1
Argentina,2020-03-07,8,6
Argentina,2020-03-08,12,4
Argentina,2020-03-09,12,0
Argentina,2020-03-10,17,5
Argentina,2020-03-11,19,2
Argentina,2020-03-12,19,0
Argentina,2020-03-13,31,12
Argentina,2020-03-14,34,3
Argentina,2020-03-15,45,11
Argentina,2020-03-16,56,11
Argentina,2020-03-17,68,12
Argentina,2020-03-18,79,11
Argentina,2020-03-19,97,18
Argentina,2020-03-20,128,31
Argentina,2020-03-21,158,30
Argentina,2020-03-22,266,108
Argentina,2020-03-23,301,35
Argentina,2020-03-24,387,86
Argentina,2020-03-25,387,0
Argentina,2020-03-26,502,115
Argentina,2020-03-27,589,87
Armenia,2020-03-01,1,0
Armenia,2020-03-02,1,0
Armenia,2020-03-03,1,0
Armenia,2020-03-04,1,0
Armenia,2020-03-05,1,0
Armenia,2020-03-06,1,0
Armenia,2020-03-07,1,0
Armenia,2020-03-08,1,0
Armenia,2020-03-09,1,0
Armenia,2020-03-10,1,0
